,id,text,created_at,did_report_as_spam,owner.id,owner.is_verified,owner.profile_pic_url,owner.username,likes,comments
0,17862340111942698,Elegante 🚩🇨🇴,1593027225,False,14927133031,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/96805663_2560619540918108_7781348896210419712_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=5ngTD4yeVeYAX-gtCsl&oh=6a11a3747b55acf5c223a0dd609123b7&oe=5FB2D7C7,parchis_torneo_colombia,0,0
1,17912279617449395,"Vean mí historia, pude cerrar la cuenta del banco BBVA que se quedó con dinero mío y nunca respondieron ningún reclamo. Hagan lo mismo, tarde o temprano les puede pasar lo mismo! 🤬😣 @bbva_argentina @bbva",1593045538,False,4789919020,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/46430885_265359947469991_6960478507327553536_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=4ab7YPB5-mIAX-vUHEX&oh=69a4b30dffa2c016198f3ed0837c1aee&oe=5FB42580,plfiumi,0,0
2,17918541043430146,BBVA en transferencias a otros bancos se demora o las rechaza.....mal servicio.....,1593400928,False,19542214096,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/69482431_1035205256825754_790672478119657472_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=ihBfd5kjPQQAX_VfoYU&oh=8a4a8a3703d873e2f55ebe2a33d04b0b&oe=5FB340D4,robinsonmatajira,0,0
3,17851005680314340,"Pésimo servicio al cliente, si llamo a la línea de atención resulta que los asesores siempre ""están ocupados"", sugieren usar el chat de la página y no sirve de nada ya que no se pueden Formular preguntas puntuales, escribí en Facebook e instagram y nada.",1600460308,False,191788937,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/119708986_341864437027576_2398465707324941939_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=LYrwOHjGs40AX84Wxd3&oh=4421991fa97c7c4e55d28c03f6ee581c&oe=5FB55F58,pf_m05,3,1
4,17851298960278097,"La aplicación de ustedes es súper inestable, un banco como ustedes debe de tener una app que funcione mejor y no tenga tantos errores.",1600460986,False,512383726,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/117191485_285922335842398_1514802184363220223_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=sUMRlJETy2wAX8D3VRI&oh=b4add864fde41c206326980111064678&oe=5FB57EE9,dennisalvarez_,0,1
5,17877910882843391,"Me cambie de banco y fue la peor decisión que tomé, bbva no atiende teléfonos, el pago por pse no funciona, me descontaron de mi afc una cuota de un crédito de consumo..... me cobran cuota de manejo es una tarjeta de crédito  que no uso, la fue a devolver y no atienden por teléfono... que mala decisión tome pero bueno.... ya estoy tomando acciones para denunciar el pésimo servicio de bbva y claro retirando mis productos no sé cómo lo lograré ya que que no atienden del teléfono y no responden, ni por Facebook, ni Instagram ..... Superintendencia Financiera de Colombia su apoyo por favor .... @superintendencia @asobancariaco",1600465081,False,298310505,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/104288294_599951547313438_2226474020092661462_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=Yytiu_P01SEAX8DSGrd&oh=82d74a0e3d572b3c86ac6ca1630bbf42&oe=5FB23E13,lgaitanj,1,3
6,17900304823556576,Buen dia,1600526733,False,7803894181,False,https://instagram.fruh4-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fruh4-1.fna.fbcdn.net&_nc_ohc=MVEG8QTyVK4AX-PD91K&oh=550d6b2d3a4afda66a435dd4e7259dd6&oe=5FB5D50F&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2,carolcoba2018,0,1
7,17966840290334004,No he podido pagar la cuota de un credito porque la plataforma no me permite inscribirme pero tampoco me dejar por la banca movil. Qué puedo hacer?,1600526824,False,7803894181,False,https://instagram.fruh4-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fruh4-1.fna.fbcdn.net&_nc_ohc=MVEG8QTyVK4AX-PD91K&oh=550d6b2d3a4afda66a435dd4e7259dd6&oe=5FB5D50F&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2,carolcoba2018,0,3
8,17868199838010595,"Operación no pudo ser procesada al intentar activar dinero Movil! 
Que hago?",1600543924,False,203406365,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/69302311_560770431327464_1494523669819424768_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=ki3MqeQN27cAX_LThI5&oh=e8fcd44dc01bcee1737e543da6bcc0da&oe=5FB4B516,nataliaisaca,0,1
10,17886852907726294,"que gran mentira durante toda la pandemia he estado tratando de comunicarme con @BBVA_colombia
 0314010000 opción 4 opvion 4 opcion 1 numero cedula seguida de # opción 1 y me #cuelgan la llamada que #tristeza que gastan mas en publicidad falsa como esta y no hay #ATENCION",1600564030,False,55042681,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/26867506_482690185461380_9088411717599232000_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=kYKS34ZbtfUAX_bzDJv&oh=e21722204da89aa6d6f776bafe79e1fc&oe=5FB5ABC6,diegomaugo,0,1
11,18051097837260690,Que sucede con ustedes les escribo por mensaje privado y solo ven la información pero no me responden no ayudan,1600699843,False,4235525761,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/20633297_109085896439672_4513415577557008384_a.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=WTpldbNV2GQAX8o6BMd&oh=f8485c39631603496f8a5b5f9270d6aa&oe=5FB55A84,djescar100,0,1
12,17890127041649424,Que sucede para que ofrecen los canales de ayuda si no lo ayudan realmente,1600699873,False,4235525761,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/20633297_109085896439672_4513415577557008384_a.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=WTpldbNV2GQAX8o6BMd&oh=f8485c39631603496f8a5b5f9270d6aa&oe=5FB55A84,djescar100,0,1
13,18161791258045103,"@bbva_colombia estoy tratando de hacer el pago de la cuota e imposible, el canal telefónico es el peor se cae la llamada o no contestan, la peor decisión cambiar de banco",1600700510,False,26188027,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118711132_776736089827986_4857519404198480560_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=U4q9-BuBFH0AX_HhDVC&oh=8c48419360aafe3b42bb4608a6409a56&oe=5FB54A5F,conniescobar,0,1
14,18115773298144735,"Nunca había estado en un banco con un servicio tan extremadamente pésimo, alguien puede por lo menos responder en alguna de las “líneas de atención que manejan”?",1600703355,False,567996173,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/116935220_295714331707025_6875230635852804916_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=2frPicWKbDkAX_Je6pn&oh=fea1e2e9d6be79c38d8f6f8934ac3c9b&oe=5FB388FA,milagguzman,1,3
15,18123485737143398,"QUE PORQUERIA DE SERVICIO , LLEVO UNA SEMANA UNA SEMANA ENTERAAAAAA TRATANDO DE COMUNICARME CON UN ASESOR Y NO ME CONTESTAN !!!! QUE ULTRAPORQUERIA DE SERVICIO !!!!!!!",1600704426,False,1796886325,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118600995_335778654239098_3373719972033879657_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=_ZAE4ROK2awAX8ZmuQ2&oh=aec64d87fd4b19a509f1a686c9e00bfa&oe=5FB2DFD0,yaneth___o,0,0
16,18102700633170151,"el servicio es pesimo, uno llama y siempre dicen que los asesores estan ocupados y cuelgan, es imposible llamar, llevo mas de 15 dias esperando que me quiten el tal alivio covid y nada",1600711071,False,281783904,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/81537215_526602967986027_5363238444061425664_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=6U8DyoEyGccAX-Ckdz7&oh=43f0a21f3ce29d0446f319bb14b57e73&oe=5FB557E2,sandravp22,0,1
17,17877141205870675,Que seriedad y criterio se le puede dar a un banco que disque soluciona los problemas de sus clientes por redes sociales???,1600716668,False,964160901,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/25006170_146587625997289_8170744662923935744_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=vwTH8npEgbwAX9LKpv6&oh=b076aa39aa648b2562133d3f05d2398b&oe=5FB40559,mayetrian,0,1
18,17942975020379508,Que banco tan ladrón deberían de cerrarlo clausurarlo tienen una supuesta línea de atención y no atienden! Aparte dicen que escriban por redes sociales y tampoco responden que hptas mas ladrones será qué hay alguna entidad para reportar el ladrónismo de esta gente,1600720134,False,355916611,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/115616613_3252631161495372_2567293186168649749_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=dfYqu73yPL0AX_BYL8h&oh=493697fca3bf9499b8ca017ce698c1f0&oe=5FB4DE87,neodtorres,0,1
