,id,text,created_at,did_report_as_spam,owner.id,owner.is_verified,owner.profile_pic_url,owner.username,likes,comments
0,17845668535013145,"READ THIS. YOU WILL BE KISSED ON THE NEAREST POSSIBLE FRIDAY BY THE LOVE OF YOUR LIFE. TOMORROW WILLBE THE BEST DAY OF YOUR LIFE. NOW YOU'VE STARTED READ ING THIS DONT STOP. THIS IS FREAKY. ? ? ? ? ? ? ? ? ? ? ?1. Say your name 10 times ? ? ? ? ? ? ? ? ? ? ? ? ?2. Say your moms name 5 times ? ? ? ? ? ? ? ? ? ? ?3. Say your crushes name 3 times ? ? ? ? ? ? ?4. Send this to 15 ppl ? ? If you do, your crush will kiss you on the nearest friday. But if you read  and ignore this you will have VERY BAD LUCK. SEND. THIS TO 15 PEOPLE IN THE NEXT 143 MINUTES. WHEN YOUR DONE PRESS THE SPACE BAR AND YOUR CRUSH'S NAME WILL POP UP ON THE SCREEN IN BIG",1370227506,False,328522741,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/121125810_259523092098778_8239197990906243077_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=GNBav8k3pcUAX9GIima&oh=8f07ddb8cad5feb0bd3e3b0bf012fd50&oe=5FB56754,jeremy_robertson_,0,0
1,17845662166013145,Quiero todo eso!!!!,1369851293,False,23376098,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/109434118_327773058421903_2048466852119930011_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=7q2EhfITwOUAX-PZHX1&oh=2959705741b8fbf63f3d0d7407483bcf&oe=5FB41AB8,hernancruz,0,0
2,17884110382750119,"Muy muy muy mal servicio, con un problema en casa desde febrero y sin solucionar de lo peor.",1601208202,False,2318651968,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/12353399_1040761519278729_1753633069_a.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=NCkStUWfPtgAX-KwyRU&oh=bd56461b22edd37261fa76302f8a55dd&oe=5FB2DEA2,ernestocamdel,0,0
3,18069047014230391,FRAUDE,1598408557,False,55470145,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/13129235_556177954588652_1065854278_a.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=A6xtM8wRXJUAX8lHmDj&oh=195de68f69ff228f1a0a56719fe56491&oe=5FB3D318,juanbaez06,0,0
5,17879816332815251,SON BBVA INSEGUROS 3 VECES ME DEJARON PLANTADA PARA MANDAR UN SERVICIO DE VIDRIO POR UN SINIESTRO. DE TERROR. PEOR SERVICIO IMPOSIBLE,1600977104,False,2115834348,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/87685939_200351057727864_4680453414113509376_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=R9ehOYcExVsAX8F_R2T&oh=37d84ff01f2be31a8d6d78ee3cd7526f&oe=5FB4F90D,paulasuarezpic,0,0
6,17894332834625450,Llevo 3 semanas esperando que vengan a reparar una incidencia .... mucho cuidado no contratar nada luego es imposible cancelar los seguros con ellos ... una vergüenza,1601471838,False,11530101110,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/51732506_2099973143628152_4751247591981711360_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=-0n3OlslnUYAX-o2Krd&oh=28de36c6c33b17fb477ed41ff222f0d7&oe=5FB61B88,raulhm777,0,0
7,17882336788798030,Cargue un siniestro y aún no me llamaron . Pasaron más de 72 Hs,1602868179,False,1341521205,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/116426697_130326338751802_8101486850433141793_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=ly_BPuBimCMAX-bTlwW&oh=68e9d5b9fcc602aaa16f04e9e5cfc7a0&oe=5FB40D94,nataliabergaglio,0,0
8,17915575873483961,Llamo y no puedo comunicar,1602868185,False,1341521205,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/116426697_130326338751802_8101486850433141793_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=ly_BPuBimCMAX-bTlwW&oh=68e9d5b9fcc602aaa16f04e9e5cfc7a0&oe=5FB40D94,nataliabergaglio,0,0
9,18048986821262312,❤️😍💥💪🏻,1600116654,False,3011429634,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/107826390_2734297043562531_6444898835435863314_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=oolswXuvosAAX_vM6Kt&oh=73c34af258a379cb6fbe37c3c4b87901&oe=5FB29354,groove_academia,1,0
10,17872604473935067,💃💃💃,1600130843,False,2053972913,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/90352184_499629484066671_7823346044208414720_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=aWu88A5h04wAX890Jm_&oh=0b82fba1c6a6898d2b01c4c49ef5569d&oe=5FB58CFD,marialaura1238,1,0
11,17863519276914801,@fefavazquez @fff.pho  para ti,1592943407,False,1131873262,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/68877587_1296626423880265_5127753951386533888_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=CFi4r38qRfAAX-sIgzo&oh=f30131818728be283a7321be117d30b4&oe=5FB5F6CE,ceciferreria,1,0
12,17877349801795542,@joseronpintos,1597410670,False,2289540717,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118191328_1413772505483919_8601533684571828257_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=xCrfjM2iLqwAX-srIwj&oh=808e3eb4b1530f574f455d753a79670c&oe=5FB265F3,florbarolin,0,0
13,18134101738115467,Muy bueno!!!,1602024857,False,9009557675,False,https://instagram.fesb3-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fesb3-2.fna.fbcdn.net&_nc_ohc=MVEG8QTyVK4AX9uwhx1&oh=e6fb8247046e153e831471f1c804e9b6&oe=5FB5D50F&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2,ivanah.rohrer,1,1
14,17942867581379150,Con cualquier BBVA sin importar el programa?,1600877257,False,5916395427,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/39665454_498724173873197_1162116187773992960_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=kzJyDZJEAfwAX8M6FWx&oh=4eaefbe3ea11c4fd0a723c7777466cc9&oe=5FB44F96,caroline16320,0,1
15,17965696126334535,@nacho_046,1599229875,False,2254414336,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/119706370_240757107373831_1006453405284845008_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=_gJ7xGaGEBUAX9f24Pn&oh=9e738a4b35760cb42a305d28533b0d3b&oe=5FB24435,ka.nayro,2,1
16,18127578586124622,La de débito sirven?,1600885109,False,1467248800,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/121538087_196523205178309_6841436920860652380_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=6aRudflf4IUAX_fVu75&oh=ec9e386127c4b2e3f7da4acee86783a1&oe=5FB3FC9C,diazfederiico,1,1
17,17871660505813259,@gustavo_peveroni,1593223547,False,36628751101,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/110110920_756671918424995_5130394345729169868_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=g7P4ATCz1yUAX_LBj7A&oh=56d9ef077d68ba25a76965cb511b64fb&oe=5FB5F239,mari.ela2100,2,1
18,17853668975095895,@mnoelt,1593223555,False,36628751101,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/110110920_756671918424995_5130394345729169868_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=g7P4ATCz1yUAX_LBj7A&oh=56d9ef077d68ba25a76965cb511b64fb&oe=5FB5F239,mari.ela2100,1,0
19,17847383969192276,@magui.martin_,1593223566,False,36628751101,False,https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/110110920_756671918424995_5130394345729169868_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=g7P4ATCz1yUAX_LBj7A&oh=56d9ef077d68ba25a76965cb511b64fb&oe=5FB5F239,mari.ela2100,1,0
