user,date,text,favorite_count,busqueda
efunesg,Fri Oct 16 18:50:56 +0000 2020,"RT @20PeterMel: No importa si Uds le dicen BBVA a Bancomer yo siempre le diré PRI a Morena

Si el inepto de Andrés López destrozó México y…",0,busqueda
romis58,Fri Oct 16 18:50:50 +0000 2020,@DanCF25 @gaby_cam @bbva vives con ella ?  o como sabes si sale o no ?,0,busqueda
Ja_tho_deia,Fri Oct 16 18:50:44 +0000 2020,@BelPozueta @JonInarritu @ehbildunafarroa @EHBilduCongreso Parece el estado de la sucursal del @bbva de mi barrio!,0,busqueda
LorenaM06066623,Fri Oct 16 18:50:38 +0000 2020,RT @gaby_cam: Hoy me llamaron de @bbva para ofrecerme una tarjeta de crédito. Dije que no la quería porque me acosaban. El señor me dijo qu…,0,busqueda
esmxhc,Fri Oct 16 18:50:36 +0000 2020,Alch Bbva es el mejor banco y el que diga lo contrario nos agarramos a putazos como la ven,0,busqueda
luchkoke,Fri Oct 16 18:50:16 +0000 2020,"RT @parentesis: ¿Ya vieron la nueva tarjeta de BBVA? No tiene número, ni nombre y cuenta con un CCV dinámico.",0,busqueda
Zerecito,Fri Oct 16 18:50:13 +0000 2020,"@Soyfurrr BBVA es el mejor, nunca vayas a Banamex",0,busqueda
mautematico,Fri Oct 16 18:50:12 +0000 2020,"@SpaceManeII @FerroRodolfo la cosa que jale tuits ya la llevas echa.

pero estando ahí le añades un filtro para que… https://t.co/imNIr3gdqX",0,busqueda
BBVAInnovation,Fri Oct 16 18:50:06 +0000 2020,"Estamos a unos minutos de dar inicio con el keynote de Nora Tejeda 👩‍💻, donde nos hablará sobre inteligencia artifi… https://t.co/TKBv4w0FZP",0,busqueda
VINZM4N,Fri Oct 16 18:50:03 +0000 2020,"@gaby_cam @bbva Éste es el Registro público para evitar publicidad (REPEP)👇
https://t.co/tI0pWvpCRv",0,busqueda
LuisMV2017,Fri Oct 16 18:49:41 +0000 2020,@LaClavijo_ @bbva @davidbarguil @ma_camiladiaz @JuanPabloCalvas @AntonioSanguino @MafeCarrascal Me pasó algo simila… https://t.co/yPXrELCaus,0,busqueda
regestorum,Fri Oct 16 18:49:13 +0000 2020,"RT @CNSF_gob_mx: 📊 #BAS #BasJunio2020 #CNSF 📊
A junio de 2020, las 5 participaciones de mercado más grandes de Seguros y Fianzas fueron, Gr…",0,busqueda
la_berl,Fri Oct 16 18:48:58 +0000 2020,"@gaby_cam @bbva @ScotiabankMX me respondió igual cuando le dije a la señorita que no estaba interesada, pero que me… https://t.co/9uJYy1P9pn",0,busqueda
Knigthrep,Fri Oct 16 18:48:57 +0000 2020,"RT @NARIZROJAAC: El Segundo Round es por los niños de Puebla 
Meta: $450,0000 
Con lo recaudado se donará medicamento para los niños que  s…",0,busqueda
MyDarkWitch,Fri Oct 16 18:48:42 +0000 2020,"RT @VeroRamdeA: @ElPollitoVE @sheismafe @roka_2004 @gaby_cam @bbva Con todo respeto, alguien tiene que poner en su lugar a esos enfermos. L…",0,busqueda
GABRIELSODI,Fri Oct 16 18:48:21 +0000 2020,"BBVA es el peor banco del mundo,aléjense y cuénteselo a #condusef pero no van a hacer nada",0,busqueda
odontsoto,Fri Oct 16 18:48:15 +0000 2020,"RT @20PeterMel: No importa si Uds le dicen BBVA a Bancomer yo siempre le diré PRI a Morena

Si el inepto de Andrés López destrozó México y…",0,busqueda
