,user,date,text,favorite_count,busqueda
0,UrolaKostaArt47,Sat Oct 17 14:37:44 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
1,lauramiinguez,Sat Oct 17 14:37:21 +0000 2020,"RT @peliradfem: Que alguien le diga al intenso de Roy Galán, patrocinado por el BBVA, que se calle de una vez y que deje de intentar borrar…",0,busqueda
2,joxanin,Sat Oct 17 14:36:32 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
3,DanielArturoG17,Sat Oct 17 14:36:09 +0000 2020,"RT @TUDNMEX: 🤩Regreso la afición 

🙌 Regreso la ilusión

⚡Regreso el triunfo para @ClubNecaxa

https://t.co/ArQoo3xDD0 

#FuerzaRayos | #Fu…",0,busqueda
4,AlbertoManzanos,Sat Oct 17 14:33:33 +0000 2020,"RT @dhgcorrecaminos: Pues habrá q ir buscando otro banco, a mi m da igual, pero x ejemplo mi madre no sabe manejar un cajero y no le vais a…",0,busqueda
5,cynmoto,Sat Oct 17 14:32:15 +0000 2020,"@SUNATOficial Buenos días, yo he tenido el mismo problema con la TC Visa del @bbva_peru. La transacción fue rechaza… https://t.co/bwIz9UiQu5",0,busqueda
6,TapiaBuendia,Sat Oct 17 14:31:49 +0000 2020,"RT @AleHM_86: ¿Nos echan una garrita para el tratamiento de #Pawa?

Los donativos se reciben en la💳 número 4152 3134 4097 6046, a nombre de…",0,busqueda
7,otichama,Sat Oct 17 14:31:47 +0000 2020,"RT @SandroyMarielen: @paolobenza Igual con BBVA, lo pedí 3 veces , a la tercera tuve que acercarme al banco a preguntar si aplicaba , recié…",0,busqueda
8,Gatopar59639092,Sat Oct 17 14:31:19 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
9,bbvaedufin,Sat Oct 17 14:31:09 +0000 2020,"Prolongar la vida laboral más allá de la edad legal de jubilación no solo está permitido, sino que se encuentra inc… https://t.co/NsthHF9GHt",0,busqueda
10,JungParkAR,Sat Oct 17 14:31:08 +0000 2020,@vayazaber Hoy en BBVA tenes que gastar unos 3.200.000 pesos para tener un equivalente a un pasaje a miami (tomamdo… https://t.co/onFCGioW5W,0,busqueda
11,HomsFrederic,Sat Oct 17 14:28:33 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
12,IRicdeM,Sat Oct 17 14:27:19 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
13,RebecaMoscote,Sat Oct 17 14:26:34 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
14,BBVA_Colombia,Sat Oct 17 14:26:22 +0000 2020,"@attearturo Hola, esta es la confirmación de titularidad que te permitirá hacer transacciones por medio de nuestros… https://t.co/Pw4uCYxMUX",0,busqueda
15,Jackeli90383550,Sat Oct 17 14:24:12 +0000 2020,"RT @marcoeyzaguirre: @paolobenza @nando360 Me pasó en BBVA: Finanzas de la empresa limpias, sin deuda, apto según Sunat e hice 4 solicitude…",0,busqueda
16,pablotudo_,Sat Oct 17 14:23:18 +0000 2020,@BBVA_Mex ayuda por favor :( necesito una devolución de una transferencia que hice equivocadamente a otra persona,0,busqueda
17,FranciscoGN,Sat Oct 17 14:23:11 +0000 2020,"@fedege_ BBVA las mejores promociones, te lo dice un comprador compulsivo",0,busqueda
18,BBVARe_mx,Sat Oct 17 14:21:32 +0000 2020,"@bricenoandres Relacionadas al tema que nos comentas, o bien, te brindamos el número de Seguros BBVA al 01 55 1102… https://t.co/gnvUKa9vcP",0,busqueda
19,BBVARe_mx,Sat Oct 17 14:21:22 +0000 2020,"@bricenoandres Hola Andres, buenos días. Te atiende Fernando. Te invitamos a comunicarte a nuestra área de Seguros… https://t.co/xvfpQHiATF",0,busqueda
20,v_langstrump,Sat Oct 17 14:21:12 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
21,Philipp08767899,Sat Oct 17 14:21:05 +0000 2020,Estamos hablando de unos tests hechos la gran mayoría con CRISPR descubierto por Francis Mojica en el paraíso natur… https://t.co/LASL2hYyPz,0,busqueda
22,ianBowierock72,Sat Oct 17 14:20:32 +0000 2020,"RT @tanorayado: Buenos días pandilla, regresa el futbol al BBVA y con ello la felicidad y corajes jajaja 😂 que tengan un sábado chingon🇫🇮",0,busqueda
23,pablotudo_,Sat Oct 17 14:20:10 +0000 2020,@bbva me pueden ayudar con una transferencia equivocada para devolucion,0,busqueda
24,tanorayado,Sat Oct 17 14:19:43 +0000 2020,"Buenos días pandilla, regresa el futbol al BBVA y con ello la felicidad y corajes jajaja 😂 que tengan un sábado chingon🇫🇮",13,busqueda
25,Wittgenstein_jm,Sat Oct 17 14:17:55 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
26,bricenoandres,Sat Oct 17 14:17:39 +0000 2020,"La sensación es de robo y ventajismo, dicen que tengo cubierto canceleria y mobiliario y no tengo ni oficina ni esp… https://t.co/7HDTQQov1n",0,busqueda
27,bricenoandres,Sat Oct 17 14:17:38 +0000 2020,"Abrí una cuenta pyme en BBVA. supuestamente firmé un contrato de seguro para la compañía, cuando lo fui a cancelar… https://t.co/V06Vi4m8m0",0,busqueda
28,ascensionmaiqu5,Sat Oct 17 14:17:33 +0000 2020,"RT @AleDuranGR: Sr.Consejero de la  @AndaluciaJunta en Granada hay tres familias con menores  que no pueden cumplir esta recomendación,les…",0,busqueda
29,Pedro_V_H,Sat Oct 17 14:17:17 +0000 2020,"RT @RicardoAlemanMx: «APOYOS» DE BBVA DURANTE LA PANDEMIA LE COSTARON 15 MILLONES DE PESOS A UNA FAMILIA
Vía @ContrapesoC 
▶️ https://t.co/…",0,busqueda
30,ansossa,Sat Oct 17 14:17:13 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
31,alvarolayedra,Sat Oct 17 14:17:06 +0000 2020,"RT @RTouzaDavid: [Vídeo] En este vídeo podrás ver como se puede aplicar la metodología #LeanStartup en las #empresas, para un evento que se…",0,busqueda
32,SergioIbaezGar1,Sat Oct 17 14:17:05 +0000 2020,"@dhgcorrecaminos @bbva A mi,por cambiar monedas de 2e,y ingresarlas en mi cuenta,12,60e 
Son unos chorizos.",0,busqueda
33,Lanesttosa,Sat Oct 17 14:16:36 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
34,MartnChab3,Sat Oct 17 14:16:01 +0000 2020,"RT @LigaBBVAMX: #AgendaFutbolística 📆 #Jornada14

@Rayados 🆚 @ClubPueblaMX

📆 Sábado 17 de Octubre
🕞 17:06
🏟️ BBVA
📺 @FoxSportsMX

#Guard1a…",0,busqueda
35,LaraPym,Sat Oct 17 14:15:18 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
36,RTouzaDavid,Sat Oct 17 14:15:17 +0000 2020,"[Vídeo] En este vídeo podrás ver como se puede aplicar la metodología #LeanStartup en las #empresas, para un evento… https://t.co/dkiXyoYZkg",0,busqueda
