user,date,text,favorite_count,busqueda
SmoothD64,Sat Oct 17 19:00:42 +0000 2020,"RT @over50panther: @911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West Virg…",0,BBVA
AllenAC009,Sat Oct 17 18:51:08 +0000 2020,"RT @HouSymphony: Hear Grieg's mysterious ""In the Hall of the Mountain King,"" performed by Rob Johnson, associate principal horn, then join…",0,BBVA
InteSystemsNsk,Sat Oct 17 18:32:42 +0000 2020,"Xerox: From 40 minutes down to 10, that's how much faster BBVA made onboarding when it started using Xerox Capture… https://t.co/Extc3g1N8e",0,BBVA
HouSymphony,Sat Oct 17 18:30:00 +0000 2020,"Hear Grieg's mysterious ""In the Hall of the Mountain King,"" performed by Rob Johnson, associate principal horn, the… https://t.co/9oDv9YzIBD",4,BBVA
mbluetyphoon,Sat Oct 17 18:28:15 +0000 2020,"RT @over50panther: @911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West Virg…",0,BBVA
Xerox,Sat Oct 17 18:15:18 +0000 2020,"From 40 minutes down to 10, that's how much faster BBVA made onboarding when it started using Xerox Capture &amp; Conte… https://t.co/1Dv4oRHDQb",0,BBVA
Fernand34953952,Sat Oct 17 18:13:34 +0000 2020,RT @bbvaOpenMind: .@SustainHistory gives neurophilosophical perspectives and multi-disciplinary analyses on topics related to power and pol…,0,BBVA
rManoj1984,Sat Oct 17 18:11:15 +0000 2020,"RT @abhibheem: #Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists #Maltablockchai…",0,BBVA
bbvaOpenMind,Sat Oct 17 18:00:27 +0000 2020,.@SustainHistory gives neurophilosophical perspectives and multi-disciplinary analyses on topics related to power a… https://t.co/6CM0lEhHpb,1,BBVA
vocalginge,Sat Oct 17 17:45:37 +0000 2020,"@evoterra I’m with BBVA for now. Free biz checking, a few other things. Local branches.",0,BBVA
Breanna1541,Sat Oct 17 17:40:14 +0000 2020,@BBVA_USA you all are crooks...,0,BBVA
CandaceBushSmi1,Sat Oct 17 17:37:54 +0000 2020,"Watching attempted cattle rustlers supporting abduction &amp; piracy. ✋

That's why I chose @BBVA_USA across street fro… https://t.co/In4LvrfeNC",0,BBVA
bbvaedufin,Sat Oct 17 17:30:33 +0000 2020,#Goodpractices selected by #BBVAEdufin 👉🏼@villagecapital in global collaboration with @MetLife Foundation and… https://t.co/GRb1tC3tBU,0,BBVA
johnnyswhere,Sat Oct 17 17:27:39 +0000 2020,"My sports world has taken a dump on me.
@RiverhoundsSC are out, @FulhamFC look lost in the premiership, and… https://t.co/1xoIFPwPnG",0,BBVA
Breanna1541,Sat Oct 17 17:25:09 +0000 2020,@ Bbva y’all bitches take people money. Crooks,0,BBVA
actuallyreal33,Sat Oct 17 17:20:03 +0000 2020,"RT @over50panther: @911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West Virg…",0,BBVA
bbva,Sat Oct 17 17:18:06 +0000 2020,📚 A higher level of financial education in African American communities in the U.S. translates into higher economic… https://t.co/sWFQz0YTtT,1,BBVA
Valerie21610251,Sat Oct 17 15:49:45 +0000 2020,@UNEP_FI @ABNAMRO @Allianz @avivaplc @AXA @Bank_OfAfrica @Barclays @bbva @blackrock @Citi @MoodysCorp @natixis… https://t.co/IlvJktjX6h,0,BBVA
Valerie21610251,Sat Oct 17 15:48:26 +0000 2020,@UNEP_FI @Allianz @ABNAMRO @avivaplc @AXA @Bank_OfAfrica @Barclays @bbva @blackrock @Citi @MoodysCorp @natixis… https://t.co/EROTnTChV3,0,BBVA
GlowGirlGlobal,Sat Oct 17 15:13:14 +0000 2020,"#FittingStatements KLIENT of the WEEK goes to Umeka Johnson Hart, VP of Banking @ BBVA, who knows what it means to… https://t.co/33bnYfvqdU",0,BBVA
GODRadio1,Sat Oct 17 15:05:09 +0000 2020,"BBVA is hosting a Virtual Debt Management Workshop on Oct 17 @11am. Check flyer for more details.
#BBVA… https://t.co/HncFkiwyIm",0,BBVA
SSXman2,Sat Oct 17 14:45:41 +0000 2020,"RT @stratorob: Here our overview of the Top 50 Digital Banks. Congrats to all. https://t.co/qxfSs4koLw 

@americanexpress @bni @banesco @it…",0,BBVA
SSXman2,Sat Oct 17 14:43:33 +0000 2020,"RT @stratorob: Here our overview of the Top 30 Digital Banks. Congrats to all. https://t.co/hYekAvBdV2 

@americanexpress @bni @banesco @it…",0,BBVA
SSXman2,Sat Oct 17 14:42:37 +0000 2020,"RT @stratorob: Here our overview of the Top 10 Digital Banks. Congrats to all. https://t.co/p2dKz9R2S2 

@americanexpress @bni @banesco @it…",0,BBVA
financesfriends,Sat Oct 17 14:30:00 +0000 2020,Don't let changing interest rates deter you from keeping your emergency fund accessible and at hand. Just the other… https://t.co/699cudJqk3,2,BBVA
nitanan1,Sat Oct 17 14:29:45 +0000 2020,"RT @over50panther: @911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West Virg…",0,BBVA
cliffordanglade,Sat Oct 17 14:25:50 +0000 2020,"@JuddPDeere45 @cyber @ScottMorrisonMP(Pt10)@Citi,@eBay,@amazon,@Twitter,@bbva,@Microsoft,@Outlook,@SocialSecurity,… https://t.co/VixcB2DCG2",0,BBVA
jacnicolegarcia,Sat Oct 17 14:22:12 +0000 2020,My experience with @BBVA_USA has sucked so bad I’ll just stick with Wells Fargo or switch to Chime 🤦🏻‍♀️🤦🏻‍♀️,0,BBVA
RickVargas82,Sat Oct 17 14:19:51 +0000 2020,"Someone tried frauding my account yesterday smh, I was mad at @bbva for locking my card, but it was for my protecti… https://t.co/8xvoNWuUeO",0,BBVA
over50panther,Sat Oct 17 14:16:04 +0000 2020,"@911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West… https://t.co/rRtzGC0AaK",13,BBVA
Kimo_1z,Sat Oct 17 13:57:32 +0000 2020,@BaffyDaPundit Me not knowing the coach for gatefe doesn’t change the quality of the liga bbva. I don’t know the coach for Brighton either,0,BBVA
shortvolumes,Sat Oct 17 11:18:01 +0000 2020,Short sale vol (not short interest) for $SAN on 2020-10-16 is 48%. https://t.co/ng9JXdFIv4 $BSAC 78% $BSMX 71% $BBVA 39% $ITUB 72%,0,BBVA
CTMfile,Sat Oct 17 11:05:39 +0000 2020,RT @CTMfile: Industry roundup: 16 October: #SWIFTgpi #BusinessBanking #TradeFinance @bbva @DeutscheBank @network_polo #BBVA #DeutscheBank #…,0,BBVA
angeldelmu,Sat Oct 17 10:19:56 +0000 2020,"RT @pacsta11: Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",0,BBVA
pacsta11,Sat Oct 17 10:17:00 +0000 2020,"Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",1,BBVA
bbvaedufin,Sat Oct 17 10:00:17 +0000 2020,📔 New study selected by #BBVAEduFin 👉🏼It’s Time to Tie Bank Profits to Customers’ Financial Health by… https://t.co/YjUFVzZ3I8,1,BBVA
alvaroortiz1968,Sat Oct 17 09:33:15 +0000 2020,Turkey´s GDP : Going and going ... Turkey´s CBRT Survey of Expectations (the most reliable) upgrade again GDP expec… https://t.co/mmKm01kfEn,12,BBVA
BenotGaudet1,Sat Oct 17 09:18:14 +0000 2020,"RT @abhibheem: #Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists #Maltablockchai…",0,BBVA
BBVAInnovation,Sat Oct 17 08:28:13 +0000 2020,RT @Finextra: Company announcement: Almost 800 coders will compete in BBVA 2020 hackathon https://t.co/qLJZKfy2bj #fintech,0,BBVA
jimenayolanda,Sat Oct 17 08:03:59 +0000 2020,"RT @BBVAPrensa: 🔈 The #HackathonBBVA 2020 has attracted a total of 3,544 candidates so far, of which 792 made the final cut. From Oct.16-18…",0,BBVA
MirandaMish,Sat Oct 17 07:40:56 +0000 2020,@Soyfurrr Bancomer @BBVA_Mex,0,BBVA
CamFinTechUru,Sat Oct 17 07:39:04 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/VNm90lhzBk https://t.co/HNI1E2H2KY,0,BBVA
_Data_Science,Sat Oct 17 07:26:05 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/DWcxYdAwMT,0,BBVA
dhfull50,Sat Oct 17 06:32:54 +0000 2020,"RT @over50panther: @Tom_Winter @LincolnsBible @ericgarland “In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigators…",0,BBVA
StationDynamo,Sat Oct 17 04:17:13 +0000 2020,Wow. A lot to unpack here...so I think I’m going to hold judgement until I see a better photo but a crest change ai… https://t.co/H1Y11PfYx8,11,BBVA
cliffordanglade,Sat Oct 17 04:13:24 +0000 2020,"@MarkMeadows @FBIWFO @ScottMorrisonMP(Pt10)@Citi,@eBay,@amazon,@Twitter,@bbva,@Microsoft,@Outlook,@SocialSecurity,… https://t.co/R3oAENLHJ4",0,BBVA
GODRadio1,Sat Oct 17 04:08:37 +0000 2020,Now Playing BBVA Financial Literacy Series - BBVA Financial Literacy Series,0,BBVA
abhibheem,Sat Oct 17 04:01:33 +0000 2020,"#Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists… https://t.co/0pfv7nVOki",2,BBVA
LiveFree_76,Sat Oct 17 03:46:35 +0000 2020,"“In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigations into a local drug gang determined… https://t.co/VZPIsSEyJN",1,BBVA
Going_Digital30,Sat Oct 17 02:27:46 +0000 2020,Almost 800 hackers will compete in BBVA Hackathon 2020 https://t.co/ZQFk8Un9tI #hackathonbbva,0,BBVA
