user,date,text,favorite_count,busqueda
pumita05,Sat Oct 17 20:55:53 +0000 2020,"@BBVARe_mx Me hablan  como si supiera a qué se refieran con número de identificador del cajero, ojalá fuera solo un… https://t.co/ZIcBjTDma9",0,BBVA
bbva_peru,Sat Oct 17 20:55:48 +0000 2020,"@MarcosFonruge Hola, por favor envíanos tus datos por mensaje interno para realizar las verificaciones ce tu caso c… https://t.co/RB4JPMErOD",0,BBVA
beduino1971,Sat Oct 17 20:54:53 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
dlptlv,Sat Oct 17 20:54:03 +0000 2020,"El equipo de Rayados ya se encuentra en el Estadio BBVA para enfrentar a Puebla. ¡VAMOS POR LOS TRES PUNTOS, MUCHAC… https://t.co/h3Vp4ZscCm",10,BBVA
rosaharrainz,Sat Oct 17 20:54:02 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
oncediariomx,Sat Oct 17 20:52:00 +0000 2020,"#Guard1anes2020 | José Rodríguez, aficionado rayado, siempre está presente para recibir a #Rayados en el BBVA, incl… https://t.co/3Wx2vNRjTv",2,BBVA
ferguajardo14,Sat Oct 17 20:51:26 +0000 2020,"@Chris_Grosse Bbva stadium Monterrey, México https://t.co/CJNdWsAn8d",0,BBVA
MarcosFonruge,Sat Oct 17 20:51:24 +0000 2020,"A ver, sres. del @bbva_peru si nos centramos un poco, que llevo una semana tratando de acceder a la banca por inter… https://t.co/EkwR50OLkn",0,BBVA
HildaWorm47,Sat Oct 17 20:50:56 +0000 2020,"RT @NARIZROJAAC: El Segundo Round es por los niños de Puebla 
Meta: $450,0000 
Con lo recaudado se donará medicamento para los niños que  s…",0,BBVA
JoseOteroMateos,Sat Oct 17 20:50:34 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
PicksAndParley1,Sat Oct 17 20:50:25 +0000 2020,"RT @PressPortmx: 📍 Estadio BBVA 

@Rayados y @ClubPueblaMX abren el telón, partido trascendental para seguir peleando por el repechaje. 

#…",0,BBVA
alparicium2,Sat Oct 17 20:50:17 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
