,text
0,"READ THIS. YOU WILL BE KISSED ON THE NEAREST POSSIBLE FRIDAY BY THE LOVE OF YOUR LIFE. TOMORROW WILLBE THE BEST DAY OF YOUR LIFE. NOW YOU'VE STARTED READ ING THIS DONT STOP. THIS IS FREAKY. ? ? ? ? ? ? ? ? ? ? ?1. Say your name 10 times ? ? ? ? ? ? ? ? ? ? ? ? ?2. Say your moms name 5 times ? ? ? ? ? ? ? ? ? ? ?3. Say your crushes name 3 times ? ? ? ? ? ? ?4. Send this to 15 ppl ? ? If you do, your crush will kiss you on the nearest friday. But if you read  and ignore this you will have VERY BAD LUCK. SEND. THIS TO 15 PEOPLE IN THE NEXT 143 MINUTES. WHEN YOUR DONE PRESS THE SPACE BAR AND YOUR CRUSH'S NAME WILL POP UP ON THE SCREEN IN BIG"
1,Quiero todo eso!!!!
2,"Muy muy muy mal servicio, con un problema en casa desde febrero y sin solucionar de lo peor."
3,FRAUDE
4,SON BBVA INSEGUROS 3 VECES ME DEJARON PLANTADA PARA MANDAR UN SERVICIO DE VIDRIO POR UN SINIESTRO. DE TERROR. PEOR SERVICIO IMPOSIBLE
5,Llevo 3 semanas esperando que vengan a reparar una incidencia .... mucho cuidado no contratar nada luego es imposible cancelar los seguros con ellos ... una vergüenza
6,Cargue un siniestro y aún no me llamaron . Pasaron más de 72 Hs
7,Llamo y no puedo comunicar
8,❤️😍💥💪🏻
9,💃💃💃
10,@fefavazquez @fff.pho  para ti
11,@joseronpintos
12,Muy bueno!!!
13,Con cualquier BBVA sin importar el programa?
14,@nacho_046
15,La de débito sirven?
16,@gustavo_peveroni
17,@mnoelt
18,@magui.martin_
19,@luciaalvariza
20,@valeemachadoo
21,@karimachin24
22,@nadiabernaldoufur
23,@maru.rosa_27
24,@day11_87
25,@dasilveiradamaris
26,@riverodaniela04
27,@leticia.rojas28
28,@stefa.gp
29,@marianelacam13
30,@virginia.rojas.54
31,@rossanadelgado1973
32,@nicolemayer6
33,@fermayerr
34,@joaquinmayer96
35,@renzombreit
36,@ana_canelones
37,@richard.cardozo.18
38,@robertespel
39,@o0odemiano0o
40,@garcia_nilo
41,@gonzaa_f3
42,@angie_amy.uy
43,"A reír siempre, que sin humor estamos perdidos! Qué no nos pare ni la maldita pandemia! 🙌 @leti_arcia"
44,@federicovanzzino como queda esa picada !
45,@josefinacoira
46,@michel_lapka
47,@arsamadrid
48,@inecortacans1706 😆
49,Quiero!! @martiimartaa
50,Genial @martiimartaa
51,Participa @martha.cotelo
52,@ivan_olivera1891
53,@la_kami_1891
54,👏👏👏👏👏
55,👏👏👏
56,Que orgullo la fundación 🙌🏻❤️
57,🔥🙌🙌
58,🙌🙌
59,Hola mvd en todo? Con crédito?gracias
60,@cedacostaspinelli
61,Con Sabri e Isma❤️ @sylvie_oliver
62,@ele.diringuer
63,@danipagani2
64,@marianitamelgar
65,@martuncho1980
66,@rolapeti
67,@alexandra.espineira.1
68,@johannaschulz7
69,@umitamika
70,@lau__danzlove
71,@raqueldantaz
72,@lulascalla04
73,@nicus1982
74,@sofi_2106_
75,@leticiachurry
76,@vicky_alvarez._2908
77,@brunoimbert
78,@gami3192
79,@umitamika Le tengo fe a Umi
80,@manu.castro28
81,@lutapiavarela
82,@luruvertoni
83,@andrevilarrubi
84,@adrianavarela495
85,@gimenuchabonfiglio
86,@diegoacubanado
87,@carmen56pacheco
88,@karen_caceres94
89,Gracias lo necesitaba
90,Bbva quitale el canal al otro geko el geko real le quitaron el canal por culpa del que esta ahorita quitacelo a ese puto
91,Hermoso Uruguay! Por años : en Salto y El Palmar! Luego me instale en Punta. Esto me agarro en Argentina y no puedo ir! Alguien sabe cuándo abren fronteras? Gracias
92,Ahh Feliz Día de la Patria 🇺🇾
93,@merenguekiosko
94,👏👏
95,@raymondviviana
96,@solfonsecaconti
97,@ma_iisaa
98,@siilviid
99,@animor
100,@camila_iza_music
101,@fertrans
102,@iza_lucro
103,@charensebi
104,@mariajosealzugaray
105,@mariliacaraballo
106,@pablo.noble.31
107,@ximefacu09
108,@andres_mateos
109,@angelajarauy
110,@lupacchinoangela
111,@joha_souto
112,@patricia.bookish
113,@latorre113
114,@fefaapesci
115,@blancacamelo6048
116,@elizacabrera2016
117,@angelaborrone
118,@joseeespindola
119,@andressiriani
120,@gerardotoledo0001
121,@martitafinsta
122,@martha.cotelo
123,@andreaalcarraz
124,@eliburguez
125,@victorialoc
126,@renzora
127,@andreareyessok
128,@nachhobravo
129,Ya anunciamos a los ganadores del sorteo 😊
130,@santi_arbiza
131,Con debito tambn hay descuento ?????
132,"🤗Feliz día a nuestras dos madres, sea, entonces 🤗💐"
133,"Una pregunta mi madre tiene cuenta en bbva y la quiero poner en la solicitud de mi affp para que le den a mi madre el dinero ya que yo me encuentro fuera del peru, y a ella le hace falta, que facilidades dan o que tengo que hacer para que  se lo den a ella."
134,Donde puedo poner un reclamo? El teléfono para ocupado
135,"BBVA el día de ayer su cajero de la agencia del  Real Plaza Cusco no dispensó el monto solicitado, y en mi aplicación registra como que si hubiera realizado el retiro, el vigilante de tienda estaba al lado mío y pudo verificar lo que indico, pedí hablar con el gerente o subgerente de tienda, que me indicaron que era el señor Felix Venegas Vergara y que lo tenía que esperar, el señor nunca llegó, a lo cual me atendió la srta. Jossy Ceballos la cual me indicó que al cerrar la tienda ella haría el arqueo del cajero y que de seguro sobraría la cantidad que “no llegué a retirar”, tuve que esperar hasta que cerraran el banco y la señorita haga el arqueo y me diga que el cajero cuadraba exacto y que no había ningún monto sobrante. En la tienda NADIE pudo darme solución, es el colmo que tanto “profesional” junto trabajando no puedan darme solución, ¿Así trabaja el #BBVA ? 
Lo más lamentable es que llamo al call center, me hacen esperar más de 10 minutos en línea y todos, cuál grabadoras me indican: “Tiene que esperar de 15 a 30 días calendario” El colmo que en pleno estado de emergencia tengan que retener MI DINERO, por malas prácticas de parte de ustedes al no realizar mantenimiento a sus cajeros, y lo que es INACEPTABLE es que nadie me pueda dar información de qué es lo que ha sucedido, nadie se comunica conmigo, lo que pido es que alguien me explique cuál es el extraordinario procedimiento que realizan ustedes ante estos casos que les lleva tanto tiempo resolverlos. 
INDECOPI ¿Hasta cuándo estas entidades nos van a seguir perjudicando? ¿ Acaso nadie regula sus procesos ? ¿Hasta cuándo se van a seguir burlando de nosotros?  #indecopi #bbva INDECOPI BBVA World @BBVA"
